Student Number,Student Age,Average Study Hours,Student Mark,Percentage,Examination Time
71,29,1.962284062929919,62,48,158
80,28,2.516070162689253,84,65,137
110,31,1.4984422033397578,44,34,147
147,35,2.886930076949832,91,70,128
149,46,3.3555092937703668,48,37,119
134,23,2.6360486176990303,96,74,96
74,45,4.481414076966447,81,62,73
28,25,1.7682436983071388,82,63,107
11,39,2.912235584681194,23,18,162
94,28,3.034559889638696,34,26,89
23,27,1.277644736203694,27,21,82
22,35,2.610758576859138,18,14,94
127,30,1.6603510812618247,57,44,112
93,26,1.2539388178492352,83,64,74
18,45,4.167928573917976,101,78,143
27,36,2.48914671069324,72,55,134
36,26,2.2481117451105384,78,60,93
57,36,3.6369323568533263,103,79,127
31,50,4.761584121227081,51,39,69
65,20,1.8019084144913529,34,26,57
12,30,2.6904554913680663,88,68,116
89,33,1.7532564056762125,64,49,142
119,29,1.9149681939518437,91,70,73
30,34,3.103549215152933,39,30,67
86,40,2.578058905711271,69,53,140
92,24,2.5260150734337956,34,26,169
148,35,2.829527499713426,111,85,50
25,47,4.27457208063123,79,61,68
138,45,2.955577497234196,20,15,69
13,32,1.7252405825909856,108,83,113
69,27,2.124143939445717,37,28,165
77,22,1.817707758724252,51,39,78
135,50,4.392616543617994,40,31,149
136,31,1.8895232280603924,84,65,101
33,42,3.7027446599147273,93,72,105
62,36,3.466538650652841,58,45,57
122,48,2.923475625033922,66,51,77
107,24,2.846715011442982,39,30,72
88,37,3.9107854343466655,120,92,107
54,38,3.1413215684436304,65,50,59
100,39,2.249813964813219,44,34,110
16,24,1.6104735797237149,55,42,123
115,42,2.4008599376229904,112,86,61
40,31,3.081703619567232,23,18,122
0,25,1.4158541962643028,22,17,149
73,48,3.126505021810364,94,72,149
8,27,2.5597879690585055,31,24,140
145,35,1.9158996120201095,103,79,86
123,49,3.433215133697993,40,31,83
113,29,2.3406635690976896,96,74,125
64,23,2.830517569640512,25,19,152
15,41,2.573031358633603,71,55,157
125,38,2.9390295551973526,54,42,110
9,40,3.402880752365612,118,91,42
